SEQ,FLUD_CAUSE,F_DSTRC_NM,F_DSSTR_NM,F_CUE_DTL,ADM_CD,WRITNG_YM,FLUD_TIME,FLUD_DPWT,DMG_AMOUNT,F_BEGIN_DE,F_END_DE,F_BEGIN_TM,F_END_TM,FLUD_WAL
32627,2,신례6지구,태풍'볼라벤'으로 인한 침수,본채는 높고 바깥채는 지대가 낮음. 지대가 낮아 우수유입,5013025329,201302,0,,0,20120827,20120828,0,0,31.7M
32628,2,신례7지구,태풍'볼라벤'으로 인한 침수,파도에 의해 해수유입,5013025329,201302,0,,0,20120827,20120828,0,0,31.7M
32629,2,위미1지구,태풍'볼라벤'으로 인한 침수,도로보다 지대가 낮으며 태풍으로 인한 출입문 파손으로 해수 유입,5013025327,201302,0,,0,20120827,20120828,0,0,31.7M
32630,2,위미2지구,태풍'볼라벤'으로 인한 침수,해안가로 태풍시 바닷물이 유입,5013025327,201302,0,,0,20120827,20120828,0,0,31.7M
32631,2,하례1지구,태풍'볼라벤'으로 인한 침수,지대가 낮아 도로에서 우수가 유입되며 배수시설이 협소함,5013025328,201302,0,,0,20120827,20120828,0,0,31.7M
32632,2,세화1지구,태풍'볼라벤'으로 인한 침수,지대가 낮아 도로에서 우수 유입,5013032025,201302,0,,0,20120827,20120828,0,0,31.7M
32633,2,고성1지구,태풍'볼라벤'으로 인한 침수,도로보다 지대가 낮아 우수 유입,5013025924,201302,0,,0,20120827,20120828,0,0,3.21M
32634,2,고성2지구,태풍'볼라벤'으로 인한 침수,도로보다 지대가 낮아 우수 유입,5013025924,201302,0,,0,20120827,20120828,0,0,3.13M
32635,2,고성3지구,태풍'볼라벤'으로 인한 침수,해안가로 파도에 의한 해수 유입,5013025924,201302,0,,0,20120827,20120828,0,0,4.67M
32636,2,성산1지구,태풍'볼라벤'으로 인한 침수,도로보다 지대가 많이 낮아 우수 유입,5013025921,201302,0,,0,20120827,20120828,0,0,7.21M
32637,2,성산2지구,태풍'볼라벤'으로 인한 침수,도로보다 지대가 낮아 우수유입,5013025921,201302,0,,0,20120827,20120828,0,0,3.28M
32638,2,성산3지구,태풍'볼라벤'으로 인한 침수,도로보다 지대가 낮아 우수 유입,5013025921,201302,0,,0,20120827,20120828,0,0,5.7M
32639,2,성산4지구,태풍'볼라벤'으로 인한 침수,파도에 의해 바닷물이 유입,5013025921,201302,0,,0,20120827,20120828,0,0,6.74M
32640,2,성산5지구,태풍'볼라벤'으로 인한 침수,도로보다 지대가 낮아 유입. 배수시설 협소,5013025921,201302,0,,0,20120827,20120828,0,0,5.21M
32641,2,성산6지구,태풍'볼라벤'으로 인한 침수,도로보다 지대가 낮아 우수 유입,5013025921,201302,0,,0,20120827,20120828,0,0,3.69M
32642,2,수산1지구,태풍'볼라벤'으로 인한 침수,지대가 낮아 도로 및 주위필지에서 우수유입,5013025925,201302,0,,0,20120827,20120828,0,0,44.05M
32643,2,신산1지구,태풍'볼라벤'으로 인한 침수,해안가로 파도에 의한 해수 유입,5013025927,201302,0,,0,20120827,20120828,0,0,6.22M
32644,2,신산2지구,태풍'볼라벤'으로 인한 침수,지대가 낮아 빗물 및 바닷물 유입,5013025927,201302,0,,0,20120827,20120828,0,0,3.06M
32645,2,신산3지구,태풍'볼라벤'으로 인한 침수,파도에 의한 바닷물 유입,5013025927,201302,0,,0,20120827,20120828,0,0,4.45M
32646,2,신산4지구,태풍'볼라벤'으로 인한 침수,지대가 낮음으로 인해 주위필지로부터 우수 유입,5013025927,201302,0,,0,20120827,20120828,0,0,7.33M
32647,2,신산5지구,태풍'볼라벤'으로 인한 침수,지대가 조금 낮아 도로 및 주위필지에서 우수 유입,5013025927,201302,0,,0,20120827,20120828,0,0,6.24M
32648,2,온평1지구,태풍'볼라벤'으로 인한 침수,해안가로 도로보다 지대가 낮아 해수 유입,5013025926,201302,0,,0,20120827,20120828,0,0,2.63M
32649,2,강정1지구,태풍'볼라벤'으로 인한 침수,지대가 낮아 도로에서 우수 유입,5013011600,201302,0,,0,20120827,20120828,0,0,33.7M
32650,2,법환1지구,태풍'볼라벤'으로 인한 침수,지반에서 물이 역류되어 침수,5013010200,201302,0,,0,20120827,20120828,0,0,33.7M
32651,2,김녕1지구,태풍'볼라벤'으로 인한 침수,저지대로 인한 도로에서 빗물유입,5011025621,201302,0,,0,20120916,20120917,0,0,9.61M
32652,2,김녕2지구,태풍'볼라벤'으로 인한 침수,농로 및 상류지역 유수유입,5011025634,201302,0,,0,20120916,20120917,0,0,21M
32653,2,김녕3지구,태풍'볼라벤'으로 인한 침수,농로보다 지대가 낮고 빗물을 차단할수 있는 돌담이 없어 집중유입,5011025634,201302,0,,0,20120916,20120917,0,0,14.35M
32654,2,김녕4지구,태풍'볼라벤'으로 인한 침수,도로보다 지대가 낮아 빗물유입,5011025634,201302,0,,0,20120916,20120917,0,0,1.73M
32655,2,김녕5지구,태풍'볼라벤'으로 인한 침수,도로우수가 대문으로 유입,5011025634,201302,,,74825534000,20120827,20120828,,,4.32M
32656,2,김녕6지구,태풍'볼라벤'으로 인한 침수,저지대로 인해 주위에서 빗물유입,5011025634,201302,0,,0,20120916,20120917,0,0,49.53M
32657,2,김녕7지구,태풍'볼라벤'으로 인한 침수,저지대로 인해 주위에서 빗물유입,5011025634,201302,0,,0,20120916,20120917,0,0,51.28M
18019,2,명호도천1지구,2008년도  집중호우,집중호우로 인하여 급격히 늘어난 우수와 산사태로 운곡천의 수위상승으로 배수불량으로 침수 피해,4792037021,200803,35,0.5 M~ 1.5 M,47579000000,20080724,20080726,1600,0,210.41M
18020,2,명호도천2지구,2008년도  집중호우,집중호우로 인하여 급격히 늘어난 우수와 산사태로 운곡천의 수위상승으로 배수불량으로 침수 피해,4792037021,200803,35,0.1 M~ 0.5 M,47579000000,20080724,20080726,1600,0,210.41M
18021,2,명호풍호지구,2008년도  집중호우,집중호우로 인하여 급격히 늘어난 우수와 산사태로 운곡천의 수위상승으로 배수불량으로 침수 피해,4792037025,200803,35,1 M~ 1.5 M,47579000000,20080724,20080726,1600,0,194.67M
18022,2,경남 고성군 고성읍 죽계리/ 마암면 두호리/ 거류면,2006. 7. 9 집중호우 및 제 3 호 태풍 “에위니아 ”,집중호우로 인한 농경지 침수,4882025032,200612,45,0.5 M~ 3 M,21003712000,20060710,20060712,900,600,1.25M
18023,2,경남 창원시 동읍 송정리/ 무성리 일원,2006.7.3 제3호 태풍 에위니아로 인한 집중호우,집중호우로 인한 농경지 침수,4812125000,200612,28,0.5 M~ 3 M,2872316000,20060710,20060712,940,140,1.25M
18024,2,경상남도 창원시 북면 신촌리 일원,2006.7.3 제3호 태풍 에위니아로 인한 집중호우,집중호우로 인한 농경지 침수,4812131036,200612,24,0.5 M,2872316000,20060710,20060711,2200,2200,0.5M
18025,2,경남 창원시 대산면 유등리 일원,2006.7.3 제3호 태풍 에위니아로 인한 집중호우,집중호우로 인한 농경지 침수,4812132000,200612,24,0.5 M~ 1.5 M,2872316000,20060710,20060711,940,1900,0.5M
18026,2,경남 의령군 용덕면 신촌리 일원,태풍나리집중호우,농경지침수,4872035000,200712,46,0.4 M~ 1.6 M,2901743000,20070916,20070917,0,2200,1.6M
18027,2,경남 의령군 정곡면 죽전리 일원,태풍나리,농경지침수,4872036000,200712,46,0.4 M~ 1.2 M,2901743000,20070916,20070917,0,2200,1.2M
18028,2,경남 의령군 낙서면 정곡리 일원,태풍나리,농경지침수,4872038023,200712,46,0.8 M~ 1.4 M,2901743000,20070916,20070917,0,2200,1.4M
18029,2,울산광역시 남구 무거동,국지성 집중호우,집중호우에 의한 건물침수,3114010100,200812,20,0.57 M,47579,20080813,20080815,0,0,0.57M
18030,2,울산광역시 남구 삼산동,국지성 집중호우,집중호우에 의한 건물침수,3114010600,200812,20,0.61 M,47579,20080813,20080815,0,0,0.61M
18031,2,울산광역시 남구 신정3동,국지성 집중호우,집중호우에 의한 건물침수,3114010400,200812,20,0.49 M,47579,20080813,20080815,0,0,0.49M
18032,2,울산광역시 남구 신정4동,국지성 집중호우,집중호우에 의한 건물침수,3114010400,200812,20,0.64 M,47579,20080813,20080815,0,0,0.64M
18033,2,울산광역시 남구 야음동,국지성 집중호우,집중호우에 의한 건물침수,3114010800,200812,20,0.3 M,47579,20080813,20080815,0,0,0.3M
18034,2,청량면 화정마을1-1,국지성 집중호우,집중호우에 의한 농경지침수,3171033021,200812,53,1.34 M,47579,20080813,20080815,300,800,1.34M
18035,2,청량면 화정마을1-2,국지성 집중호우,집중호우에 의한 농경지침수,3171033021,200812,53,1.26 M,47579,20080813,20080815,300,800,1.26M
18036,2,청량면 화정마을1-3,국지성 집중호우,집중호우에 의한 농경지침수,3171033021,200812,53,0.84 M,0,20080813,20080815,300,800,0.84M
18037,2,청량면 화정마을2,국지성 집중호우,집중호우에 의한 농경지침수,3171033021,200812,53,1.322 M,0,20080813,20080815,300,800,1.32M
18038,2,청량면 화정마을3,국지성 집중호우,집중호우에 의한 농경지침수,3171033021,200812,53,0.673 M,0,20080813,20080815,300,800,0.67M
18039,2,청량면 덕정마을4,국지성 집중호우,집중호우에 의한 농경지침수,3171033021,200812,53,1.5 M,0,20080813,20080815,300,800,1.5M
18040,2,청량면 덕정마을5,국지성 집중호우,집중호우에 의한 농경지침수,3171033021,200812,53,1.335 M,0,20080813,20080815,300,800,1.34M
18041,2,청량면 화창2리6,국지성 집중호우,집중호우에 의한 농경지침수,3171033023,200812,53,0.7 M,0,20080813,20080815,300,800,0.7M
18042,2,청량면 화창2리7,국지성 집중호우,집중호우에 의한 농경지침수,3171033000,200812,53,1.1 M,0,20080813,20080815,300,800,1.1M
19000,2,이화동 11번지 일원,제3호 에위니아 태풍 및 집중호우,집중 호우로 인한 우수와 계양천의 수위상승으로 역류와 맞물려 배수불량에 의한 침수,2824511700,200612,48,0.77 M,0,20060712,20060713,0,0,6.13M
19001,2,인천광역시 계양구 선주지동/ 노오지동/ 상야동,제3호 에위니아 태풍 및 집중호우,집중 호우로 인한 우수와 굴포천의 수위상승과 맞물려 배수불량에 의한 침수,2824500000,200612,48,0.55 M,0,20060726,20060727,0,0,6.13M
19002,2,서운동 117-10번지 일원,제3호 에위니아 태풍 및 집중호우,주변지역 성토로 배수불량 침수,2824510400,200612,48,0.69 M,0,20060716,20060717,0,0,6.13M
19003,1,덕양시가지,2006.7.10 집중호우 및 제3호 태풍 “에위니아”,태풍 에위니아로 인한 집중호우,4613031021,200706,1,0.46 M,4156237000,20060710,20060710,1240,1340,0M
19004,1,벌교읍 벌교.회정리일원,집중호우 및 제11호 태풍 ‘나리’피해현황,해수 월류(만조 시)로 인한 피해 발생,4678025300,200712,5,0.497 M,2645000000,20070913,20070918,0,0,2.3M
19005,1,벌교읍 장양리일원,집중호우 및 제11호 태풍“나리”피해,해수 월류(만조 시)로 인한 피해와 지반유실로인한 침수,4678025300,200712,5,0.5 M,2645000000,20070913,20070918,0,0,2.25M
19006,1,장천동 지역 일대,제11호 태풍나리,태풍“나리” 집중호우로 인해 도로배수기능 저하,4615011900,200712,1,1.37 M,4923339000,20070913,20070913,1000,330,1.37M
19007,1,조곡동(철도운동장앞/ 순천역~경주장사이),제 11 호 태풍 나리,태풍“나리” 집중호우로 인해 도로배수기능 저하,4615011100,200712,1,0.2 M~ 0.3 M,4923339000,20070913,20070913,1000,330,0.3M
19008,1,(샘플)풍덕동(시장지역~보건소/ 삼산중학교앞),제 11 호 태풍 나리,태풍“나리” 집중호우로 인해 도로배수기능 저하,4615000000,200712,1,0.23M~ 0.32M,10000000,20070913,20070913,1000,3300,0.32M
19009,1,조곡동_덕연동(이마트앞도로/명암마을),제 11 호 태풍 나리,태풍“나리” 집중호우로 인해 도로배수기능 저하,4615000000,200712,1,0.31 M~ 0.54 M,4923339000,20070913,20070913,1000,330,0.54M
19010,1,연향동 흥덕사입구 앞 지역 일대,제 11 호 태풍 나리,태풍“나리” 집중호우로 인해 도로배수기능 저하,4615011400,200712,1,0.25 M,4923339000,20070913,20070913,1000,330,0.25M
19011,4,법성면 법성_진내리 법성포항 일대,법성면 법성/진내리,2007년 3월 해수범람(만조 시)으로 인한 침수피해,4687037000,200712,0.200000003,0.5 M,563352000,20070331,20070331,150,210,4.4M
19012,4,염산면 봉남리 설도항,영광군 염산면 설도항,2007년 3월 해수월류(만조 시)으로 인한 침수피해,4687036023,200712,0.100000001,0.39 M,0,20070929,20070929,1627,1637,4.39M
19013,2,진도읍 포산리 일원(포산지구),집중 호우에 의한 침수,우수 및 하천 범람으로 농경지 침수,4690025026,200712,12,0.6 M~ 1.5 M,0,20070904,20070906,0,0,1M
19014,2,진도읍 포산리 일원(조금지구),집중 호우에 의한 침수,우수 및 하천 범람으로 농경지 침수,4690025000,200712,12,0.4 M~ 0.7 M,0,20070904,20070906,0,0,0.55M
19015,1,고흥읍 남계_호형리 주택 및 상가지역,집중호우 및 제11호 태풍 ‘나리’피해현황,집중호우와 하천 통수단면의 절대부족으로 하천범람,4677025000,200712,7,0.525M,7,20070828,20070829,0,0,23.01M
19016,1,도양읍 봉암리 농경지 및  시가지지역,집중호우 및 제11호 태풍“나리”피해,배수펌프장 노후와 하천 통수단면의 절대부족으로 하천범람,4677025324,200712,5,0.753M,5,20070828,20070829,0,0,2.55M
19017,1,고흥군 점암면 신안1지구,집중호우 및 제11호 태풍“나리”피해,하천 배수여건 불량으로 하천범람,4677037031,200712,8,0.65M,8,20070828,20070829,0,0,1.16M
19018,1,고흥군 점암면 신안2지구,집중호우 및 제11호 태풍“나리”피해,고지대 다량의 빗물 유입 및 하천범람,4677037031,200712,8,1.05M,8,20070828,20070829,0,0,-2.75M
19019,1,고흥군 도양읍 장계리 일원,집중호우 및 제11호 태풍 ‘나리’피해현황,집중호우와 만조 시 해수유입으로 침수,4677025321,200712,7,0.847 M,7,20070916,20070918,0,0,5.23M
19020,1,고흥군 금산면 신전리 대흥리 일원,집중호우 및 제11호 태풍“나리”피해,집중호우와 하천의 범람,4677033000,200712,5,1.27 M,5,20070916,20070918,0,0,2.55M
19021,2,대야면지구,2005. 07. 01 ~ 07.03  집중호우,우수유입/  저지대 및 배수불량(배수로 용량부족),4513035021,200706,72,0.35 M,0,20050701,20050703,0,0,5.25M
19022,1,나운2동지구,2006. 07. 09  제3호 태풍 “에위니아”,우수유입/ 저지대로 인한 내수침수,4513014400,200706,24,0.35 M,0,20060709,20060709,0,0,4.98M
19023,1,미성동지구,2006. 07. 09  제3호 태풍 “에위니아”,우수유입/ 저지대로 인한 내수침수 및 배수불량,4513015100,200706,24,0.4 M,0,20060709,20060709,0,0,4.54M
19024,1,신풍동지구,2006. 07. 09  제3호 태풍 “에위니아”,우수유입/ 저지대로 인한 내수침수 및 배수불량,4513011000,200706,24,0.3 M,0,20060709,20060709,0,0,6.23M
19025,1,옥서면지구,2006. 07. 09  제3호 태풍 “에위니아”,우수유입/ 저지대로 인한 내수침수 및 배수불량,4513040022,200706,24,0.65 M,0,20060709,20060709,0,0,4M
19026,2,소룡동지구(솔고지아파트 뒤편),2005. 07. 01 ~ 07.03  집중호우,우수유입/  저지대 및 배수불량(배수로 용량부족),4513014600,200706,72,0.4 M,0,20050701,20050703,0,0,4.95M
19027,4,군산시 소룡동 재해위험지구 일원,해수면 만조시(백중사리) 상습침수,해안가 위치/ 저지대,4513014600,200706,0,0.45 M,0,20070601,20070602,0,0,4.3 M~ 4.61 M
19028,4,부안군 위도면 진리(농협 일원),2007. 03. 31  해수면 범람,해수면 범람,4580042021,200712,2,0.3 M,314000000,20070331,20070331,0,0,3.5M
19029,2,줄포면 줄포리/ 우포리 (면사무소 일원),2005. 08. 02 ~ 2005.08. 03 집중호우,저지대 및 배수불량(하수관거 병목현상),4580041000,200712,14,0.8 M,1713000000,20050802,20050803,0,0,4.4M
19030,2,부안군 하서면 장신리 (평지마을 일원),집중호우,집중호우,4580040025,200812,10,0.39 M,0,20070828,20070829,0,0,12.95M
19031,2,부안군 하서면 백련리 (월포마을 일원),집중호우,집중호우,4580040024,200812,10,0.45 M,0,20070828,20070829,0,0,12.95M
19032,2,부안군 하서면 석상리 (마전마을 일원),집중호우,집중호우,4580040023,200812,10,0.5 M~ 1 M,0,20070828,20070829,0,0,12.95M
19033,1,창인동 1가 창인시장 앞,태풍갈매기 집중호우,태풍 갈매기에 의한 집중호우,4514010100,200831,1,0.25 M,0,20080723,20080723,1630,1730,12.5M
19034,1,중앙동1가 (역전앞),태풍갈매기 집중호우,태풍 갈매기에 의한 집중호우,4514010300,200831,1,0.29 M,0,20080723,20080723,1630,1730,10.3M
19035,1,주현동(한빛광고 앞),태풍갈매기 집중호우,태풍 갈매기에 의한 집중호우,4514010800,200831,1,0.5 M~ 1 M,0,20080723,20080723,1630,1730,7.2M
19036,1,동산동,태풍갈매기 집중호우,태풍 갈매기에 의한 집중호우,4514011100,200831,1,0.32 M,0,20080723,20080723,1630,1730,7.3M
19037,1,마동_주현동 동사무소 앞,태풍갈매기 집중호우,태풍 갈매기에 의한 집중호우,4514011200,200831,1,0.45 M,0,20080723,20080723,1630,1730,9.6M
19038,1,마동(익산대 뒤),태풍갈매기 집중호우,태풍 갈매기에 의한 집중호우,4514011200,200831,1,0.42 M,0,20080723,20080723,1630,1730,12.8M
19039,1,남중동 연세병원 앞,태풍갈매기 집중호우,태풍 갈매기에 의한 집중호우,4514011300,200831,1,0.29 M,0,20080723,20080723,1630,1730,13.9M
19040,1,남중동 시청 앞,태풍갈매기 집중호우,태풍 갈매기에 의한 집중호우,4514011300,200831,1,0.5 M~ 1 M,0,20080723,20080723,1630,1730,15.8M
19041,1,남중동 우체국 뒤,태풍갈매기 집중호우,태풍 갈매기에 의한 집중호우,4514011300,200831,1,0.48 M,0,20080723,20080723,1630,1730,25.1M
19042,1,어양동 어양자이아파트 앞,태풍갈매기 집중호우,태풍 갈매기에 의한 집중호우,4514012300,200831,1,0.5 M~ 1 M,0,20080723,20080723,1630,1730,21.3M
19043,1,금강동 대우자동차 뒤,태풍갈매기 집중호우,태풍 갈매기에 의한 집중호우,4514012500,200831,1,0.19 M,0,20080723,20080723,1630,1730,9.5M
19044,1,금강동 신흥초교 앞,태풍갈매기 집중호우,태풍 갈매기에 의한 집중호우,4514012500,200831,1,0.34 M,0,20080723,20080723,1630,1730,7.5M
19045,1,부송동 화물터미널,태풍갈매기 집중호우,태풍 갈매기에 의한 집중호우,4514013400,200831,1,0.5 M~ 1 M,0,20080723,20080723,1630,1730,16.7M
19046,2,사호리1-1지구,2007. 08. 04 ~ 08.05  호우피해(침수),집중호우,4418033000,200712,8,0.1 M~ 1 M,0,20070804,20070805,0,0,0.65M
19047,2,사호리1-2지구,2007. 08. 04 ~ 08.05  호우피해(침수),집중호우,4418033000,200712,8,0.1 M~ 1 M,0,20070804,20070805,0,0,0.77M
19048,2,사호리1-3지구,2007. 08. 04 ~ 08.05  호우피해(침수),집중호우,4418033023,200712,8,0.1 M~ 1 M,0,20070804,20070805,0,0,0.72M
19049,2,장은리2지구,2007. 08. 04 ~ 08.05  호우피해(침수),집중호우,4418033024,200712,8,0.1 M~ 1 M,0,20070804,20070805,0,0,0.76M
19050,2,궁포리3지구,2007. 08. 04 ~ 08.05  호우피해(침수),집중호우,4418033025,200712,8,0.1 M~ 1 M,0,20070804,20070805,0,0,0.74M
19051,1,충청남도 연기군 조치원읍 죽림리 일원,충청남도 연기군 조치원읍 죽림리 일원,제7호 태풍 갈매기의 영향으로 집중호우 및 하수역류,3611025030,200812,17,0.5 M~ 1 M,2741450,20080816,20080816,300,2000,29.23M
19052,2,충청북도 제천시 송학면 장곡리 일원,충청북도 제천시 송학면 장곡리 일원,집중호우에 의한 침수,4315038022,200612,17,0.5 M~ 2 M,0,20060715,20060716,2300,1600,1.25M
19053,2,향산지구,집중 호우에 의한 침수,향산소하천 역류로 인한 주거 및 농경지 침수,4380032028,200612,17,0.5 M~ 2.5 M,0,20060716,20060717,2300,1600,1M
19054,2,상리지구,집중 호우에 의한 침수,남한강 수위상승으로 인한 주거지 침수,4380033000,200612,17,0.5 M~ 1.5 M,0,20060716,20060717,2300,1600,0.5M
19055,2,느티지구,집중 호우에 의한 침수,남한강 수위상승으로 인한 농경지 침수,4380033021,200612,17,0.5 M~ 3 M,0,20060716,20060717,2300,1600,1.25M
19056,2,하리지구,집중 호우에 의한 침수,남한강 수위상승으로 인한 주거지 및 농경지 침수,4380033000,200612,17,0.5 M~ 3 M,0,20060716,20060717,2300,1600,1.25M
19057,2,용진지구,집중 호우에 의한 침수,남한강 수위상승으로 인한 주거지 및 농경지 침수,4380033000,200612,17,0.5 M~ 3 M,0,20060716,20060717,2300,1600,1.25M
19058,2,단암지구,집중 호우에 의한 침수,충주댐 방류로 남한강 수위상승에 의한 침수,4313037000,200712,144,0.5 M~ 3 M,6376885000,20060716,20060729,0,0,60M
19059,2,강천지구,집중 호우에 의한 침수,충주댐 방류로 남한강 수위상승에 의한 침수,4313037023,200712,144,0.5 M~ 3 M,6376885000,20060716,20060729,0,0,50M
19060,2,영죽지구,집중 호우에 의한 침수,충주댐 방류로 남한강 수위상승에 의한 침수,4313037022,200712,144,0.5 M~ 3 M,6376885000,20060716,20060729,0,0,55M
19061,2,충청북도 제천시 송학면 장곡리 일원,집중호우에 의한 침수,시곡천 역류 범람,4315038022,200712,22,1.1 M,0,20070805,20070806,1000,800,2.5M
19062,2,덕은지구,집중 호우에 의한 침수,충주댐 방류로 남한강 수위상승에 의한 침수,4313043023,200712,144,0.5 M~ 2.5 M,6376885000,20060716,20060729,0,0,45M
19063,2,복탄2지구,집중 호우에 의한 침수,충주댐 방류로 남한강 수위상승에 의한 침수,4313043022,200712,144,0.5 M~ 3 M,6376885000,20060716,20060729,0,0,60M
19065,2,능암지구,집중 호우에 의한 침수,충주댐 방류로 남한강 수위상승에 의한 침수,4313037034,200712,144,0.5 M~ 3 M,6376885000,20060716,20060729,0,0,65M
19066,2,봉황지구,집중 호우에 의한 침수,충주댐 방류로 남한강 수위상승에 의한 침수,4313038000,200712,144,0.5 M~ 3 M,6376885000,20060716,20060729,0,0,70M
19067,2,가흥지구,집중 호우에 의한 침수,충주댐 방류로 남한강 수위상승에 의한 침수,4313038023,200712,144,0.5 M~ 3 M,6376885000,20060716,20060729,0,0,60M
19068,2,중청지구,집중 호우에 의한 침수,충주댐 방류로 남한강 수위상승에 의한 침수,4313043029,200712,144,0.5 M~ 3 M,6376885000,20060716,20060729,0,0,70M
19069,2,양촌지구,집중 호우에 의한 침수,충주댐 방류로 남한강 수위상승에 의한 침수,4313043028,200712,144,0.5 M~ 3 M,6376885000,20060716,20060729,0,0,65M
19070,2,장천지구,집중 호우에 의한 침수,충주댐 방류로 남한강 수위상승에 의한 침수,4313038000,200712,144,0.5 M~ 3 M,6376885000,20060716,20060729,0,0,60M
19071,2,목계지구,집중 호우에 의한 침수,충주댐 방류로 남한강 수위상승에 의한 침수,4313042023,200712,144,0.5 M~ 3 M,6376885000,20060716,20060729,0,0,60M
19072,2,율능지구,집중 호우에 의한 침수,충주댐 방류로 남한강 수위상승에 의한 침수,4313042022,200712,144,0.5 M~ 2.5 M,6376885000,20060716,20060729,0,0,60M
19073,2,하담지구,집중 호우에 의한 침수,충주댐 방류로 남한강 수위상승에 의한 침수,4313039000,200712,144,0.5 M~ 3 M,6376885000,20060716,20060729,0,0,60M
19074,2,하담_매하지구,집중 호우에 의한 침수,충주댐 방류로 남한강 수위상승에 의한 침수,4313039021,200712,144,0.5 M~ 3 M,6376885000,20060716,20060729,0,0,60M
19075,2,유송지구,집중 호우에 의한 침수,충주댐 방류로 남한강 수위상승에 의한 침수,4313039023,200712,144,0.5 M~ 3 M,6376885000,20060716,20060729,0,0,60M
19076,2,토계지구,집중 호우에 의한 침수,집중호우(괴산 칠성댐 방류) 및 내수에 의한 침수,4313031033,200712,144,0.5 M~ 3 M,6376885000,20060716,20060729,0,0,80M
19077,2,복탄1지구,집중 호우에 의한 침수,충주댐 방류로 남한강 수위상승에 의한 침수,4313043022,200712,144,0.5 M~ 2.5 M,6376885000,20060716,20060729,0,0,65M
19078,2,월상지구,집중 호우에 의한 침수,충주댐 방류로 남한강 수위상승에 의한 침수,4313039025,200712,144,0.5 M~ 3 M,6376885000,20060716,20060729,0,0,65M
19079,2,맹동지구,집중 호우에 의한 침수,집중호우에 의한 하천범람으로 농경지침수,4377033025,200812,84,0.5 M~ 3.5 M,2741450000,20060726,20060729,0,0,72.1M
19080,2,주천지구,집중 호우에 의한 침수,집중호우에 의한 하천범람으로 농경지침수,4377037022,200812,84,0.5 M~ 1 M,2741450000,20060726,20060729,0,0,66.8M
19081,2,왕장지구,집중 호우에 의한 침수,집중호우에 의한 하천범람으로 농경지침수,4377037031,200812,84,0.5 M~ 1 M,2741450000,20060726,20060729,0,0,62.8M
19082,2,단평지구,집중 호우에 의한 침수,집중호우에 의한 하천범람으로 농경지침수,4377037032,200812,84,0.5 M~ 2.5 M,2741450000,20060726,20060729,0,0,60.4M
19083,2,삼용지구,집중 호우에 의한 침수,집중호우에 의한 하천범람으로 농경지침수,4375035000,200812,84,0.5 M~ 3.8 M,0,20060726,20060729,0,0,63M
19084,2,용몽지구,집중 호우에 의한 침수,집중호우에 의한 하천범람으로 농경지침수,4375031030,200812,84,0.5 M~ 2.5 M,0,20060726,20060729,0,0,80M
19085,2,오갑(상)지구,집중 호우에 의한 침수,집중호우에 의한 하천범람으로 농경지침수,4375032026,200812,84,0.5 M~ 3 M,0,20060726,20060729,0,0,53M
